Taxon	Agile	Amber	Apple	Brave	Cedar	Crown	Dance	Drive	Dwell	Eagle	Earth	Fleet	Giant	Glint	Grace	Honor	Inlet	Joker	Kneel	Knife	Latch	Lemon	Magic	Mover	North	Novel	Ocean	Outer	Overt	Paint	Quiet	Quirk	Roast	Rocky	Shore	Smart	Spark	Storm	Trend	Truce	Unity	Value	Vapor	Water	Woven	Zebra	taxonomy
d__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Nautiliales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	d__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Nautiliales
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	0	0	1	0	0	0	2	1	1	0	0	0	0	2	0	3	2	0	1	0	0	0	1	0	0	0	0	0	2	0	3	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Acidiferrobacterales
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	7	9	14	4	6	20	5	7	7	4	1	11	8	4	14	11	7	10	2	12	5	11	11	6	5	0	14	26	11	14	11	8	4	11	6	7	1	9	8	0	0	0	18	10	7	4	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	12	14	15	6	12	16	11	5	11	8	4	8	9	8	12	12	14	8	6	18	8	7	10	3	11	0	12	19	5	12	10	5	12	14	2	7	5	4	6	0	0	1	12	5	9	10	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cardiobacteriales
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	3	4	5	2	3	3	2	0	5	6	2	2	3	4	3	5	2	2	1	2	0	2	2	2	3	0	3	3	1	2	3	1	0	1	2	1	3	2	4	0	0	0	2	3	2	0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	1	8	3	3	7	11	9	13	7	3	3	13	2	7	7	11	4	7	0	10	1	4	4	3	5	0	10	5	9	2	14	5	1	9	3	4	1	4	11	0	0	0	12	7	2	3	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	3939	47	64	100	327	219	46	65	5264	88	59	74	63	144	116	61	48	233	71	302	46	45	275	23	33	2	45	344	1216	441	92	41	26	71	111	127	104	34	170	10	3	70	77	42	24	107	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Immundisolibacterales
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	1	3	1	1	0	2	1	1	4	1	0	1	0	4	4	2	0	2	2	4	3	2	1	1	0	0	3	3	0	0	0	0	0	2	0	2	0	1	1	0	0	0	1	2	0	1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	2	0	1	0	7	2	0	4	2	1	2	0	0	0	5	0	0	1	0	1	3	1	2	1	1	1	2	1	1	3	2	1	1	2	0	2	1	0	5	0	0	0	7	1	0	0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Nevskiales
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	6	3	10	7	16	14	13	15	9	5	2	17	4	6	10	19	9	5	22	9	4	7	12	1	3	0	15	19	4	7	17	3	3	5	12	5	2	2	11	2	2	0	12	4	6	9	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Orbales	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales
