	Agile	Amber	Apple	Brave	Cedar	Crown	Dance	Drive	Dwell	Eagle	Earth	Fleet	Giant	Glint	Grace	Honor	Inlet	Joker	Kneel	Knife	Latch	Lemon	Magic	Mover	North	Novel	Ocean	Outer	Overt	Paint	Quiet	Quirk	Roast	Rocky	Shore	Smart	Spark	Storm	Trend	Truce	Unity	Value	Vapor	Water	Woven	Zebra
Latch	0.604733727811	0.32971991832	0.494946826078	0.299361318849	0.403546070841	0.395856873823	0.357287975431	0.467301101765	0.458602150538	0.60274879947	0.455724632195	0.323115420707	0.363068585814	0.362418215127	0.623020471224	0.552895557616	0.534665723382	0.440095769535	0.35208558157	0.436616246104	0.0	0.382449725777	0.497582811101	0.665503069489	0.421770881999	0.982164449819	0.394067317478	0.488693614528	0.696800766522	0.647599767745	0.556572793313	0.512470098804	0.501377688172	0.580965766489	0.394693728952	0.428128632313	0.444504578616	0.391540934949	0.355257290645	0.965040203766	0.97472290486	0.907419882591	0.3949844479	0.448708035312	0.367655388284	0.510058877445
Lemon	0.599175459058	0.51467754732	0.528521321765	0.433383634328	0.414061061393	0.388680531879	0.515413228441	0.480618790089	0.502007271626	0.61724478652	0.533703913783	0.356379303337	0.38408427016	0.512025880257	0.605328827658	0.607283236994	0.57040500166	0.489855794022	0.536007137698	0.470222251253	0.382449725777	0.0	0.56920807208	0.707097330714	0.377751180265	0.985347382285	0.407511737089	0.497322936505	0.644338588155	0.613824060084	0.584626917521	0.476153304267	0.545647823912	0.601145764001	0.413629225556	0.439206124572	0.522995201517	0.474620081109	0.380486815416	0.971476441502	0.980071349489	0.922076892588	0.42427712568	0.470326498707	0.526070591951	0.527659512635
Magic	0.639868951613	0.498124907722	0.598166344011	0.501621481385	0.584801162157	0.435138230002	0.365637319317	0.405931198102	0.642558390902	0.663666636666	0.683429416112	0.478642571106	0.565307667352	0.416502098247	0.668196131354	0.555390156062	0.659091641685	0.537280654069	0.575168368455	0.552199580285	0.497582811101	0.56920807208	0.0	0.678745391683	0.488398772478	0.974654705966	0.524037240796	0.470313601128	0.746596746288	0.682636694808	0.50768399973	0.620230407116	0.633121113966	0.700484530222	0.477323965816	0.637182586417	0.677106286054	0.661892110431	0.551344430218	0.96132480135	0.963924453562	0.894926568758	0.510364170209	0.598180331947	0.598024726958	0.635062917243
Mover	0.503738752539	0.635024270185	0.456856052496	0.664125164477	0.715599935952	0.613411392508	0.664906573376	0.760175814435	0.65497537239	0.606654327613	0.64879934323	0.664082768597	0.670250289229	0.786787260521	0.57246559294	0.665937580137	0.68318933198	0.590808698607	0.613874111312	0.562924765305	0.665503069489	0.707097330714	0.678745391683	0.0	0.699344647958	0.990953500995	0.559072639528	0.480778290103	0.758578283134	0.463761445666	0.637987435949	0.794757606551	0.511338548513	0.544032721331	0.609963528644	0.730045727116	0.736814589292	0.716623643941	0.707817185562	0.982554549197	0.987209902011	0.95699467481	0.624080476943	0.595462016634	0.630053831176	0.628058453108
North	0.505541636588	0.551823322933	0.563451940626	0.333807079879	0.353392560773	0.292241713621	0.385354911072	0.379663975562	0.488907214836	0.530430071114	0.583886394691	0.315016805812	0.332059781998	0.383122298885	0.599236279435	0.444118912496	0.583845097898	0.530781967336	0.556828774754	0.327554775909	0.421770881999	0.377751180265	0.488398772478	0.699344647958	0.0	0.983400141476	0.408331648873	0.339813951719	0.62868330886	0.716902274124	0.401341033293	0.302597507687	0.596169325032	0.619914862114	0.402317624986	0.394290651211	0.483575184017	0.443319692727	0.209461360341	0.968849391955	0.976615326822	0.917159763314	0.313862530068	0.370075512746	0.52220503123	0.521725900682
Novel	0.992734716815	0.982477849824	0.991190499367	0.979503901246	0.988418766862	0.984532499131	0.984343566868	0.978286940605	0.987818383167	0.99324579277	0.982939046769	0.985846445797	0.989009302183	0.981222660834	0.993248849664	0.98728026297	0.992600859788	0.989111269218	0.98454364908	0.990408573342	0.982164449819	0.985347382285	0.974654705966	0.990953500995	0.983400141476	0.0	0.989582713257	0.988722988723	0.99421993793	0.992092003886	0.98849939898	0.987836845968	0.991212302776	0.994055526036	0.985378206175	0.989751561735	0.986830783045	0.983210912907	0.986135181976	0.470483005367	0.418947368421	0.761760242792	0.988866649987	0.991739416127	0.974717704708	0.992117041887
Ocean	0.39070327553	0.461407417114	0.354210965467	0.471937762959	0.383693874984	0.307095856304	0.475392296719	0.54746519355	0.470777652552	0.455125379851	0.543473780842	0.329664319409	0.419702980832	0.584064665127	0.468240532455	0.564883500539	0.430574278781	0.344837582582	0.526145877678	0.266306582174	0.394067317478	0.407511737089	0.524037240796	0.559072639528	0.408331648873	0.989582713257	0.0	0.405942118227	0.643152380649	0.510874756367	0.579748417845	0.485774363122	0.475583458441	0.411010509643	0.365107976013	0.478859766597	0.545167909514	0.452122554448	0.317770724549	0.97939182187	0.984624061266	0.942314375072	0.254670961804	0.318334080658	0.484808119252	0.413217956759
Outer	0.366802975809	0.568777271405	0.33436387225	0.475770562057	0.478334088995	0.372687483909	0.352400973667	0.562207393285	0.558598028478	0.391318777707	0.627287724406	0.391697260661	0.390537264409	0.455136904287	0.429861357981	0.547969671441	0.56822912748	0.495423071488	0.58953855183	0.373826197097	0.488693614528	0.497322936505	0.470313601128	0.480778290103	0.339813951719	0.988722988723	0.405942118227	0.0	0.671410455122	0.511405561947	0.481067859614	0.470428359428	0.391077879526	0.458476186317	0.446513626759	0.495484046657	0.566989723021	0.526219232533	0.392881057269	0.977945553084	0.983541162798	0.941370869033	0.386024187691	0.363560169789	0.607332262395	0.47693033867
Overt	0.596160991834	0.689858519785	0.692422766148	0.679491305075	0.59948959949	0.619015694772	0.716889938955	0.687917441525	0.683148605876	0.73651987773	0.611095961724	0.632812408955	0.630220866277	0.7783777646	0.699426648935	0.632690417274	0.715736599969	0.653928179057	0.732208372671	0.562489779231	0.696800766522	0.644338588155	0.746596746288	0.758578283134	0.62868330886	0.99421993793	0.643152380649	0.671410455122	0.0	0.747952736366	0.670456536979	0.631577766308	0.715643674618	0.704900653476	0.620795538771	0.497585352539	0.67076245931	0.676390815037	0.637661082849	0.988833218718	0.991637973438	0.968592822603	0.640310949173	0.570587721935	0.754705346131	0.651457949954
Paint	0.523014695681	0.626673741378	0.448727152895	0.650739569854	0.665243910649	0.628470197784	0.681814776524	0.764459626913	0.638949581564	0.602328678042	0.631156500828	0.589671673727	0.685773336124	0.790357867169	0.549714663117	0.633942362551	0.655404892748	0.516653106218	0.678237391291	0.570492610837	0.647599767745	0.613824060084	0.682636694808	0.463761445666	0.716902274124	0.992092003886	0.510874756367	0.511405561947	0.747952736366	0.0	0.747722888984	0.7903595177	0.510526503914	0.531657364624	0.6048801182	0.716150206075	0.753611693388	0.704477105535	0.690224217836	0.984381329612	0.989222096956	0.955170048459	0.60280022676	0.573554407021	0.6506660225	0.624045414611
Quiet	0.627014696533	0.62743083004	0.668060820546	0.502554077064	0.498774489645	0.510006927153	0.403037756041	0.449740484429	0.642015077665	0.653217587319	0.699050632911	0.517516295272	0.498967762427	0.432269092241	0.684243332334	0.36446004967	0.704928853404	0.618965627192	0.562239772961	0.503765393816	0.556572793313	0.584626917521	0.50768399973	0.637987435949	0.401341033293	0.98849939898	0.579748417845	0.481067859614	0.670456536979	0.747722888984	0.0	0.301348969631	0.696705605155	0.71960141689	0.578360452616	0.577425000768	0.638308300949	0.648385024239	0.467957336201	0.978162553301	0.982897123607	0.947974144726	0.498372693313	0.482858277747	0.650793650794	0.658663550409
Quirk	0.562989250894	0.642453024985	0.63718461028	0.467324508271	0.37080568397	0.424350643015	0.425557317049	0.447379169503	0.581849692768	0.581292856176	0.663773506923	0.436333401842	0.406282894737	0.442062461414	0.676942957356	0.42993862848	0.652895798254	0.617828714866	0.640156453716	0.426775689529	0.512470098804	0.476153304267	0.620230407116	0.794757606551	0.302597507687	0.987836845968	0.485774363122	0.470428359428	0.631577766308	0.7903595177	0.301348969631	0.0	0.662990788337	0.65829668404	0.543283185673	0.469411092053	0.587888492612	0.499115727847	0.306947682552	0.980198707705	0.982022158735	0.946251480792	0.419165157882	0.412611696947	0.614115533705	0.6167035852
Roast	0.447920623925	0.514989561587	0.31338219999	0.639200647363	0.584163502983	0.512219244513	0.509961943139	0.687003512564	0.593075487108	0.450105744745	0.659329823682	0.43961456762	0.437857291162	0.596117634976	0.36882416397	0.70422701744	0.436381393659	0.506187585939	0.504981379508	0.518890346377	0.501377688172	0.545647823912	0.633121113966	0.511338548513	0.596169325032	0.991212302776	0.475583458441	0.391077879526	0.715643674618	0.510526503914	0.696705605155	0.662990788337	0.0	0.326919996797	0.508136417482	0.472832587456	0.570518516287	0.602856294733	0.57417768214	0.982550769307	0.988093755449	0.958624054647	0.529840330505	0.489961596422	0.627034770152	0.473226214545
Rocky	0.326391041891	0.525230188774	0.353624222249	0.655750902433	0.595983775517	0.560490489524	0.596740260682	0.733520077164	0.60002704652	0.460387791996	0.652388035449	0.518100876266	0.488059039313	0.665003944723	0.4283587908	0.740515553127	0.389913512714	0.467010969219	0.595648297631	0.42405187053	0.580965766489	0.601145764001	0.700484530222	0.544032721331	0.619914862114	0.994055526036	0.411010509643	0.458476186317	0.704900653476	0.531657364624	0.71960141689	0.65829668404	0.326919996797	0.0	0.567809876192	0.523161022236	0.6167450242	0.645298616439	0.556906181067	0.988443517277	0.991544391942	0.967297818765	0.461858499608	0.379807129192	0.655578252459	0.438341909553
Shore	0.497849200552	0.433130939214	0.434133022457	0.418713960362	0.427019488384	0.361405891841	0.473874717881	0.507197756803	0.450449090497	0.584561112264	0.495470257326	0.390816698384	0.421982249043	0.575222891285	0.563012135671	0.569804945477	0.516334639369	0.409608875184	0.485083153485	0.398127798128	0.394693728952	0.413629225556	0.477323965816	0.609963528644	0.402317624986	0.985378206175	0.365107976013	0.446513626759	0.620795538771	0.6048801182	0.578360452616	0.543283185673	0.508136417482	0.567809876192	0.0	0.483454288968	0.541521572331	0.432210535659	0.39694471387	0.971045054544	0.9798982706	0.917617436462	0.408089022042	0.43767238278	0.440559440559	0.444838929384
Smart	0.475759987645	0.537172813256	0.598250381072	0.51512799115	0.413470894404	0.405985811152	0.489295513728	0.527412542832	0.534095400718	0.624094234005	0.464670922298	0.40530118866	0.326360457819	0.487899960451	0.639555509779	0.58204071157	0.484148567147	0.546670665867	0.523220029558	0.421886771394	0.428128632313	0.439206124572	0.637182586417	0.730045727116	0.394290651211	0.989751561735	0.478859766597	0.495484046657	0.497585352539	0.716150206075	0.577425000768	0.469411092053	0.472832587456	0.523161022236	0.483454288968	0.0	0.400478045906	0.500714040384	0.385480658174	0.980522456462	0.985356609624	0.941969667237	0.443109348852	0.397882154226	0.580418714126	0.502624274539
Spark	0.555526381431	0.537294835439	0.659207853256	0.481743606241	0.541655651316	0.467393286198	0.515718030522	0.603631364369	0.50029869119	0.682466067625	0.470370688914	0.488681035651	0.43857564751	0.479452662394	0.627732352311	0.659249443248	0.584900105715	0.534053722389	0.49768719575	0.505795508089	0.444504578616	0.522995201517	0.677106286054	0.736814589292	0.483575184017	0.986830783045	0.545167909514	0.566989723021	0.67076245931	0.753611693388	0.638308300949	0.587888492612	0.570518516287	0.6167450242	0.541521572331	0.400478045906	0.0	0.350299084779	0.503141128487	0.974278917633	0.980835197614	0.931388497271	0.499494178769	0.4818510086	0.495671102756	0.542412844552
