	Agile	Amber	Apple	Brave	Cedar	Crown	Dance	Drive	Dwell	Eagle	Earth	Fleet	Giant	Glint	Grace	Honor	Inlet	Joker	Kneel	Knife	Latch	Lemon	Magic	Mover	North	Novel	Ocean	Outer	Overt	Paint	Quiet	Quirk	Roast	Rocky	Shore	Smart	Spark	Storm	Trend	Truce	Unity	Value	Vapor	Water	Woven	Zebra
Latch	0.444444444444	0.427835051546	0.449350649351	0.489247311828	0.434782608696	0.446428571429	0.485333333333	0.49354005168	0.456919060052	0.442934782609	0.523255813953	0.451030927835	0.464935064935	0.434426229508	0.425742574257	0.466321243523	0.460732984293	0.436224489796	0.481586402266	0.4425	0.0	0.473684210526	0.445843828715	0.538011695906	0.487465181058	0.884210526316	0.426767676768	0.43669250646	0.468319559229	0.452127659574	0.44414893617	0.432132963989	0.459154929577	0.427518427518	0.436314363144	0.428954423592	0.485632183908	0.498567335244	0.468421052632	0.843205574913	0.910652920962	0.809523809524	0.430025445293	0.44094488189	0.498630136986	0.434316353887
Lemon	0.426395939086	0.449382716049	0.454773869347	0.453333333333	0.428927680798	0.436408977556	0.469973890339	0.458974358974	0.454314720812	0.448818897638	0.530726256983	0.420918367347	0.4140625	0.424	0.427884615385	0.43989769821	0.430051813472	0.406565656566	0.506738544474	0.42118226601	0.473684210526	0.0	0.424317617866	0.528409090909	0.491935483871	0.887417218543	0.42118226601	0.465517241379	0.481481481481	0.46547314578	0.4296875	0.475195822454	0.485254691689	0.429594272076	0.430079155673	0.459183673469	0.456090651558	0.502762430939	0.425196850394	0.848684210526	0.912337662338	0.820512820513	0.44362745098	0.47	0.474393530997	0.475949367089
Magic	0.373762376238	0.412887828162	0.432692307692	0.384816753927	0.400479616307	0.384428223844	0.41475826972	0.416873449132	0.389027431421	0.410126582278	0.518421052632	0.423076923077	0.408866995074	0.406091370558	0.362559241706	0.398514851485	0.408415841584	0.378640776699	0.488491048593	0.400943396226	0.445843828715	0.424317617866	0.0	0.512064343164	0.474489795918	0.902941176471	0.404705882353	0.37037037037	0.464824120603	0.438725490196	0.41975308642	0.4475	0.48743718593	0.398617511521	0.435643564356	0.42118226601	0.511508951407	0.4921875	0.415422885572	0.861764705882	0.918604651163	0.819241982507	0.380722891566	0.443645083933	0.465648854962	0.410447761194
Mover	0.528610354223	0.498630136986	0.509749303621	0.516320474777	0.560209424084	0.55672823219	0.520467836257	0.572602739726	0.538674033149	0.54415954416	0.542483660131	0.506925207756	0.51404494382	0.564606741573	0.520618556701	0.527777777778	0.534818941504	0.49863760218	0.532507739938	0.550387596899	0.538011695906	0.528409090909	0.512064343164	0.0	0.551204819277	0.85201793722	0.531413612565	0.5	0.542772861357	0.518518518519	0.530898876404	0.543352601156	0.581871345029	0.517948717949	0.498542274052	0.507122507123	0.519108280255	0.574074074074	0.559556786704	0.805309734513	0.871681415929	0.758620689655	0.527851458886	0.534435261708	0.549253731343	0.533707865169
North	0.477806788512	0.507575757576	0.521739130435	0.520435967302	0.45974025974	0.451443569554	0.536	0.515789473684	0.474666666667	0.478021978022	0.481366459627	0.468421052632	0.470588235294	0.478021978022	0.487745098039	0.459677419355	0.498680738786	0.511278195489	0.53125	0.443298969072	0.487465181058	0.491935483871	0.474489795918	0.551204819277	0.0	0.880149812734	0.501240694789	0.489690721649	0.465714285714	0.498666666667	0.457765667575	0.509536784741	0.491428571429	0.485365853659	0.515957446809	0.471698113208	0.527536231884	0.492537313433	0.444751381215	0.85347985348	0.908424908425	0.805054151625	0.450777202073	0.510362694301	0.479885057471	0.489304812834
Novel	0.888198757764	0.900900900901	0.88643533123	0.888111888112	0.904761904762	0.897280966767	0.878892733564	0.902912621359	0.898412698413	0.884745762712	0.871794871795	0.891304347826	0.887820512821	0.888513513514	0.905027932961	0.895238095238	0.886731391586	0.901785714286	0.868217054264	0.898255813953	0.884210526316	0.887417218543	0.902941176471	0.85201793722	0.880149812734	0.0	0.91091954023	0.89263803681	0.881720430108	0.888157894737	0.892857142857	0.893470790378	0.881918819188	0.903047091413	0.886287625418	0.885993485342	0.872509960159	0.870967741935	0.895424836601	0.686567164179	0.762711864407	0.691358024691	0.899705014749	0.899371069182	0.874074074074	0.892508143322
Ocean	0.40625	0.371359223301	0.39119804401	0.4425	0.408983451537	0.427230046948	0.41959798995	0.429268292683	0.374064837905	0.43842364532	0.514360313316	0.431279620853	0.401960784314	0.418952618454	0.344418052257	0.430288461538	0.424757281553	0.371980676329	0.484771573604	0.335766423358	0.426767676768	0.42118226601	0.404705882353	0.531413612565	0.501240694789	0.91091954023	0.0	0.383495145631	0.480295566502	0.420147420147	0.40099009901	0.444168734491	0.445012787724	0.342789598109	0.443902439024	0.421951219512	0.460732984293	0.484455958549	0.408415841584	0.867435158501	0.913793103448	0.832386363636	0.385714285714	0.378712871287	0.462121212121	0.438256658596
Outer	0.354591836735	0.371571072319	0.387909319899	0.407894736842	0.406326034063	0.436450839329	0.370666666667	0.454320987654	0.382653061224	0.366047745358	0.494535519126	0.405940594059	0.422885572139	0.444444444444	0.367788461538	0.473557692308	0.4225	0.376237623762	0.447721179625	0.402877697842	0.43669250646	0.465517241379	0.37037037037	0.5	0.489690721649	0.89263803681	0.383495145631	0.0	0.479695431472	0.445273631841	0.445544554455	0.503685503686	0.479381443299	0.366028708134	0.376963350785	0.4275	0.48	0.515706806283	0.421717171717	0.849693251534	0.905775075988	0.81981981982	0.424821002387	0.40350877193	0.456919060052	0.404580152672
Overt	0.435695538058	0.467005076142	0.507575757576	0.509383378016	0.409448818898	0.465648854962	0.497326203209	0.520512820513	0.484455958549	0.483957219251	0.510385756677	0.434210526316	0.480519480519	0.471698113208	0.459657701711	0.445623342175	0.503856041131	0.4825	0.481375358166	0.437974683544	0.468319559229	0.481481481481	0.464824120603	0.542772861357	0.465714285714	0.881720430108	0.480295566502	0.479695431472	0.0	0.472148541114	0.443548387097	0.482384823848	0.493036211699	0.453658536585	0.493403693931	0.449197860963	0.472140762463	0.485380116959	0.439024390244	0.835714285714	0.897163120567	0.79298245614	0.453164556962	0.464751958225	0.498614958449	0.44204851752
Paint	0.437185929648	0.413098236776	0.437974683544	0.480417754569	0.447174447174	0.450738916256	0.444444444444	0.484924623116	0.429305912596	0.431216931217	0.533333333333	0.474201474201	0.437340153453	0.491094147583	0.430622009569	0.462311557789	0.441025641026	0.42144638404	0.517333333333	0.420147420147	0.452127659574	0.46547314578	0.438725490196	0.518518518519	0.498666666667	0.888157894737	0.420147420147	0.445273631841	0.472148541114	0.0	0.452685421995	0.477922077922	0.507894736842	0.409638554217	0.433070866142	0.438144329897	0.476323119777	0.537634408602	0.468193384224	0.849673202614	0.909385113269	0.814102564103	0.427160493827	0.468827930175	0.48128342246	0.451282051282
Quiet	0.441396508728	0.459854014599	0.426395939086	0.452380952381	0.439803439803	0.423940149626	0.452879581152	0.396825396825	0.453400503778	0.479591836735	0.533149171271	0.424242424242	0.429667519182	0.389189189189	0.392682926829	0.414948453608	0.468671679198	0.444987775061	0.53280839895	0.424390243902	0.44414893617	0.4296875	0.41975308642	0.530898876404	0.457765667575	0.892857142857	0.40099009901	0.445544554455	0.443548387097	0.452685421995	0.0	0.47012987013	0.496042216359	0.458139534884	0.5	0.426356589147	0.467966573816	0.472067039106	0.382352941176	0.854838709677	0.906752411576	0.812101910828	0.403990024938	0.434010152284	0.477333333333	0.474874371859
Quirk	0.454081632653	0.468827930175	0.451030927835	0.47027027027	0.448362720403	0.420103092784	0.502617801047	0.442970822281	0.478260869565	0.501298701299	0.537142857143	0.412073490814	0.430079155673	0.477572559367	0.446601941748	0.455958549223	0.489795918367	0.472772277228	0.540540540541	0.428571428571	0.432132963989	0.475195822454	0.4475	0.543352601156	0.509536784741	0.893470790378	0.444168734491	0.503685503686	0.482384823848	0.477922077922	0.47012987013	0.0	0.490410958904	0.440677966102	0.467018469657	0.418230563003	0.487179487179	0.512676056338	0.477922077922	0.857142857143	0.900684931507	0.8	0.455223880597	0.426315789474	0.483516483516	0.46875
Roast	0.434666666667	0.450520833333	0.44385026738	0.480555555556	0.457364341085	0.469072164948	0.450980392157	0.513089005236	0.426229508197	0.432584269663	0.501519756839	0.473958333333	0.488188976378	0.5	0.403598971722	0.524296675192	0.484126984127	0.450777202073	0.449404761905	0.48	0.459154929577	0.485254691689	0.48743718593	0.581871345029	0.491428571429	0.881918819188	0.445012787724	0.479381443299	0.493036211699	0.507894736842	0.496042216359	0.490410958904	0.0	0.4375	0.443213296399	0.473262032086	0.494117647059	0.489614243323	0.492021276596	0.834558823529	0.909747292419	0.803571428571	0.513580246914	0.447721179625	0.463976945245	0.436813186813
Rocky	0.384798099762	0.354066985646	0.408018867925	0.435207823961	0.372641509434	0.413394919169	0.428223844282	0.441037735849	0.384057971014	0.431325301205	0.505102040816	0.417249417249	0.403341288783	0.45	0.35103926097	0.456221198157	0.402877697842	0.354761904762	0.449494949495	0.346698113208	0.427518427518	0.429594272076	0.398617511521	0.517948717949	0.485365853659	0.903047091413	0.342789598109	0.366028708134	0.453658536585	0.409638554217	0.458139534884	0.440677966102	0.4375	0.0	0.417874396135	0.372549019608	0.483709273183	0.475949367089	0.421052631579	0.870523415978	0.920765027322	0.830601092896	0.402298850575	0.360975609756	0.454320987654	0.361386138614
Shore	0.376315789474	0.401534526854	0.402088772846	0.44474393531	0.4325	0.474327628362	0.380555555556	0.489898989899	0.454081632653	0.393442622951	0.492795389049	0.412371134021	0.425974025974	0.444444444444	0.404411764706	0.455470737913	0.453846153846	0.422110552764	0.469444444444	0.443902439024	0.436314363144	0.430079155673	0.435643564356	0.498542274052	0.515957446809	0.886287625418	0.443902439024	0.376963350785	0.493403693931	0.433070866142	0.5	0.467018469657	0.443213296399	0.417874396135	0.0	0.438961038961	0.45584045584	0.531335149864	0.441253263708	0.835570469799	0.900662251656	0.803278688525	0.462287104623	0.409921671018	0.46174863388	0.381081081081
Smart	0.398976982097	0.418952618454	0.443609022556	0.445623342175	0.417910447761	0.440886699507	0.450261780105	0.533816425121	0.443037974684	0.437172774869	0.505617977528	0.4335839599	0.4625	0.403743315508	0.41726618705	0.486486486486	0.477611940299	0.4075	0.474114441417	0.421951219512	0.428954423592	0.459183673469	0.42118226601	0.507122507123	0.471698113208	0.885993485342	0.421951219512	0.4275	0.449197860963	0.438144329897	0.426356589147	0.418230563003	0.473262032086	0.372549019608	0.438961038961	0.0	0.510810810811	0.490358126722	0.442159383033	0.844155844156	0.914012738854	0.820189274448	0.425061425061	0.443324937028	0.466487935657	0.395778364116
Spark	0.483957219251	0.454301075269	0.485175202156	0.489971346705	0.485564304462	0.477453580902	0.463976945245	0.486187845304	0.485013623978	0.467236467236	0.507886435331	0.436464088398	0.472527472527	0.488764044944	0.478481012658	0.490514905149	0.489071038251	0.470899470899	0.5	0.460732984293	0.485632183908	0.456090651558	0.511508951407	0.519108280255	0.527536231884	0.872509960159	0.460732984293	0.48	0.472140762463	0.476323119777	0.467966573816	0.487179487179	0.494117647059	0.483709273183	0.45584045584	0.510810810811	0.0	0.504587155963	0.484764542936	0.826086956522	0.880952380952	0.774319066148	0.484375	0.472677595628	0.48224852071	0.453521126761
Storm	0.487935656836	0.494736842105	0.525065963061	0.507122507123	0.473404255319	0.481382978723	0.507042253521	0.498622589532	0.484931506849	0.492957746479	0.512658227848	0.474254742547	0.513440860215	0.44476744186	0.486075949367	0.522666666667	0.476454293629	0.494764397906	0.517857142857	0.52644836272	0.498567335244	0.502762430939	0.4921875	0.574074074074	0.492537313433	0.870967741935	0.484455958549	0.515706806283	0.485380116959	0.537634408602	0.472067039106	0.512676056338	0.489614243323	0.475949367089	0.531335149864	0.490358126722	0.504587155963	0.0	0.47619047619	0.814516129032	0.884	0.785992217899	0.507731958763	0.497297297297	0.5	0.474860335196
