# Constructed from biom file
#OTU ID	Agile	Amber	Apple	Brave	Cedar	Crown	Dance	Drive	Dwell	Eagle	Earth	Fleet	Giant	Glint	Grace	Honor	Inlet	Joker	Kneel	Knife	Latch	Lemon	Magic	Mover	North	Novel	Ocean	Outer	Overt	Paint	Quiet	Quirk	Roast	Rocky	Shore	Smart	Spark	Storm	Trend	Truce	Unity	Value	Vapor	Water	Woven	Zebra
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_vitaeruminis	2.0	1.0	1.0	0.0	0.0	2.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Nocardiaceae|g__Rhodococcus|s__Rhodococcus_opacus	73.0	37.0	109.0	15.0	26.0	38.0	29.0	29.0	26.0	20.0	17.0	29.0	41.0	25.0	53.0	40.0	40.0	42.0	21.0	50.0	29.0	21.0	41.0	51.0	15.0	1.0	46.0	56.0	32.0	83.0	33.0	30.0	13.0	95.0	17.0	25.0	15.0	10.0	15.0	1.0	3.0	3.0	31.0	53.0	21.0	41.0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Arthrobacter|s__Arthrobacter_alpinus	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Arthrobacter|s__Arthrobacter_crystallopoietes	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	2.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_dentocariosa	1.0	3.0	0.0	1.0	4.0	0.0	0.0	4.0	2.0	1.0	2.0	0.0	0.0	0.0	2.0	3.0	3.0	3.0	2.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa	47.0	13.0	0.0	3.0	38.0	3.0	18.0	23.0	13.0	10.0	1.0	5.0	13.0	1.0	6.0	7.0	35.0	12.0	17.0	39.0	2.0	8.0	3.0	0.0	15.0	0.0	8.0	7.0	15.0	2.0	10.0	48.0	9.0	30.0	8.0	27.0	0.0	6.0	4.0	0.0	0.0	0.0	4.0	33.0	19.0	6.0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_acnes	41.0	1.0	4.0	1.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	1.0	1.0	0.0	3.0	2.0	1.0	0.0	3.0	1.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	1.0	0.0	1.0	17.0	1.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	3.0	5.0	6.0	0.0	0.0	1.0	0.0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_freudenreichii	2.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	6.0	0.0	3.0	0.0	2.0	0.0	4.0	0.0	0.0	0.0	21.0	1.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionimicrobium|s__Propionimicrobium_sp._Marseille-P3275	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	5.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	2.0	2.0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Pseudopropionibacterium|s__Pseudopropionibacterium_propionicum	3.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	2.0	0.0	2.0	1.0	1.0	3.0	0.0	0.0	0.0	2.0	4.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	3.0	4.0	6.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0
